"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1767.53756899285
"FDW14","OUT017",1429.57728274719
"NCN55","OUT010",612.110219345553
"FDQ58","OUT017",2583.1100250031
"FDY38","OUT027",6222.89999917004
"FDH56","OUT046",1931.4751045301
"FDL48","OUT018",689.615128513669
"FDC48","OUT027",2140.67795094604
"FDN33","OUT045",1510.15919224769
"FDA36","OUT017",3119.57224369763
"FDT44","OUT017",1974.54950866519
"FDQ56","OUT045",1334.90886747178
"NCC54","OUT019",648.138309576634
"FDU11","OUT049",2069.68642630175
"DRL59","OUT013",815.629280297855
"FDM24","OUT049",2558.87234105454
"FDI57","OUT045",3346.92261658271
"DRC12","OUT018",2656.03680797353
"NCM42","OUT027",2898.54740850593
"FDA46","OUT010",480.196516400859
"FDA31","OUT013",2840.77527908939
"NCJ31","OUT035",4113.50699797402
"FDG52","OUT046",742.487480037639
"NCL19","OUT019",335.099604833975
"FDS10","OUT035",3051.91492910527
"FDX22","OUT010",565.623685376876
"NCF19","OUT035",790.429217650169
"NCE06","OUT046",2607.95324893879
"DRC27","OUT046",3890.9090022197
"FDE21","OUT035",1976.55349268135
"NCR42","OUT019",67.2032537601547
"FDX51","OUT018",2766.32853628718
"NCR06","OUT018",570.844210788807
"FDU31","OUT027",5887.48393426124
"FDU59","OUT017",2796.53077093786
"FDR03","OUT027",5515.36901652515
"FDS49","OUT027",2149.44665700122
"FDD48","OUT010",254.555425168287
"NCF18","OUT017",3179.92504310279
"NCD43","OUT027",2727.08305545903
"NCD54","OUT018",1944.60416650492
"FDY19","OUT010",269.387740120473
"NCY54","OUT017",2902.7950775259
"NCL19","OUT018",1995.64398545142
"FDP23","OUT010",601.694957198763
"FDC26","OUT013",1820.72053087638
"FDR14","OUT010",106.89458969115
"NCS41","OUT035",3135.79748714291
"FDF41","OUT035",4154.03362536036
"FDU34","OUT046",2005.85440979452
"DRH11","OUT046",914.707478866795
"FDM03","OUT013",1707.50089093146
"FDS31","OUT017",3081.93614272305
"FDJ20","OUT017",2064.72998705427
"FDV44","OUT027",5099.12595496375
"FDG02","OUT049",3196.98932300835
"FDA09","OUT013",2930.73767454885
"FDT04","OUT013",588.700592761421
"FDL58","OUT019",771.706146287576
"FDE52","OUT045",1374.33959212603
"FDW12","OUT035",2482.48537617291
"FDL51","OUT017",3541.16516038545
"NCY42","OUT027",3741.31488488602
"FDR07","OUT017",1604.73516581413
"FDN40","OUT045",2322.41396728607
"FDB35","OUT027",2433.31420611177
"FDA22","OUT017",2812.14573393978
"NCL06","OUT046",4261.33458075282
"FDI35","OUT013",2940.61121355914
"NCW42","OUT045",3430.67080123434
"NCX06","OUT049",2961.61482084433
"FDC37","OUT027",2856.40830372787
"FDZ14","OUT018",1666.91832315055
"DRG49","OUT049",4127.91857339108
"NCG06","OUT045",3982.16735826636
"DRC36","OUT045",2744.15242370314
"FDV21","OUT019",313.571073890833
"FDB53","OUT046",2346.92407043772
"DRP47","OUT019",659.660716310864
"FDA14","OUT013",2252.5107688501
"DRC24","OUT035",2574.22560485433
"FDW21","OUT018",1407.36842107686
"NCH29","OUT046",1582.99506369982
"FDU58","OUT013",3077.44360334227
"FDY27","OUT017",2898.48310054802
"FDV56","OUT035",1867.02334973302
"FDT59","OUT046",3810.65565884898
"FDB23","OUT046",3752.50846074437
"FDR49","OUT045",725.696219418061
"FDB03","OUT010",579.622433466264
"FDN39","OUT045",2616.94391425899
"FDX02","OUT027",5856.3461331444
"FDQ16","OUT027",2800.7570642719
"FDU35","OUT018",1399.00437815019
"NCT29","OUT013",1961.20613739294
"FDZ27","OUT046",750.201144695832
"FDN57","OUT017",2323.11552672497
"FDA03","OUT018",1972.13679898574
"FDZ36","OUT045",2945.8126760909
"NCU05","OUT013",1297.65791305552
"FDT39","OUT018",2136.83160673476
"FDK60","OUT017",1624.61554249692
"FDZ25","OUT017",2893.64596170336
"FDG12","OUT046",1993.87883589405
"DRB01","OUT019",493.876092785142
"NCC43","OUT027",6693.30870207156
"FDX13","OUT019",715.021868535846
"FDM22","OUT049",881.930934582618
"FDJ03","OUT027",1281.19569852114
"FDU14","OUT018",3371.05333913871
"FDB33","OUT010",377.647794945939
"FDP27","OUT046",3124.58273081821
"FDO38","OUT010",186.670549173307
"FDE28","OUT027",6175.95294006738
"FDO27","OUT035",1648.21762179583
"DRL23","OUT027",2821.7187772092
"FDS28","OUT046",888.126736674193
"FDX24","OUT013",1466.09699301768
"FDZ02","OUT035",1609.12462547637
"FDL46","OUT045",1798.22378925209
"FDS60","OUT027",4731.64113563186
"NCO06","OUT017",537.787696659168
"FDO16","OUT035",1391.05704483103
"FDC60","OUT049",1466.97664658778
"FDA48","OUT018",3069.29506416721
"FDZ36","OUT027",5014.63807865472
"FDK27","OUT045",1873.25607790649
"FDW23","OUT018",530.194831319012
"FDM14","OUT018",1535.14937827545
"FDM14","OUT013",1742.57525968407
"FDW60","OUT018",2506.68856386911
"FDE21","OUT013",1863.54238665817
"NCM42","OUT035",1836.08611806495
"FDY59","OUT010",208.765301440453
"DRI49","OUT049",1346.44251766526
"FDT28","OUT019",301.419339978208
"FDQ22","OUT018",535.822839179258
"FDR60","OUT049",1259.56144773365
"FDC50","OUT019",248.510302025073
"FDV24","OUT013",2435.17790835547
"DRF48","OUT010",470.355943047076
"FDQ47","OUT046",607.130119535269
"DRN36","OUT049",1604.21015471197
"NCY06","OUT035",2153.12544583709
"FDE52","OUT035",1490.21454303625
"NCB54","OUT045",1987.20757310759
"NCF31","OUT035",2570.72919121939
"FDJ08","OUT027",5088.1736562979
"NCC07","OUT017",1733.10597554963
"NCD19","OUT027",1413.03982511255
"FDL46","OUT049",1955.99793233747
